Ticks: 2461 , State: jumping
Ticks: 2593 , State: falling
Ticks: 2776 , State: grounded
Ticks: 5711 , State: jumping
Ticks: 5844 , State: falling
Ticks: 5877 , State: grounded
Ticks: 5877 , State: falling
Ticks: 5910 , State: grounded
Ticks: 7076 , State: jumping
Ticks: 7209 , State: falling
Ticks: 7544 , State: grounded
Ticks: 8075 , State: jumping
Ticks: 8209 , State: falling
Ticks: 8309 , State: jumping
Ticks: 8411 , State: jumping
Ticks: 8443 , State: falling
Ticks: 8539 , State: grounded
Ticks: 8539 , State: falling
Ticks: 8576 , State: grounded
Ticks: 9810 , State: jumping
Ticks: 9943 , State: falling
Ticks: 9976 , State: grounded
Ticks: 9976 , State: falling
Ticks: 10009 , State: grounded
Ticks: 11177 , State: jumping
Ticks: 11309 , State: falling
Ticks: 11325 , State: grounded
Ticks: 11844 , State: jumping
Ticks: 11973 , State: falling
Ticks: 11990 , State: grounded
Ticks: 12189 , State: jumping
Ticks: 12322 , State: falling
Ticks: 12339 , State: grounded
Ticks: 12810 , State: falling
Ticks: 12827 , State: falling
Ticks: 12843 , State: grounded
Ticks: 12843 , State: falling
Ticks: 12860 , State: falling
Ticks: 12876 , State: falling
Ticks: 12894 , State: falling
Ticks: 12910 , State: falling
Ticks: 12927 , State: falling
Ticks: 12943 , State: falling
Ticks: 12960 , State: falling
Ticks: 12977 , State: falling
Ticks: 12994 , State: falling
Ticks: 13009 , State: falling
Ticks: 13026 , State: grounded
Ticks: 13477 , State: falling
Ticks: 13494 , State: falling
Ticks: 13510 , State: grounded
Ticks: 13510 , State: falling
Ticks: 13528 , State: falling
Ticks: 13544 , State: falling
Ticks: 13560 , State: falling
Ticks: 13577 , State: falling
Ticks: 13589 , State: falling
Ticks: 13611 , State: falling
Ticks: 13627 , State: falling
Ticks: 13644 , State: falling
Ticks: 13656 , State: falling
Ticks: 13677 , State: falling
Ticks: 13694 , State: falling
Ticks: 13710 , State: falling
Ticks: 13727 , State: falling
Ticks: 13744 , State: falling
Ticks: 13760 , State: falling
Ticks: 13777 , State: falling
Ticks: 13793 , State: falling
Ticks: 13810 , State: falling
Ticks: 13827 , State: falling
Ticks: 13844 , State: falling
Ticks: 13860 , State: grounded
Ticks: 15009 , State: falling
Ticks: 15026 , State: falling
Ticks: 15038 , State: grounded
Ticks: 15038 , State: falling
Ticks: 15059 , State: falling
Ticks: 15076 , State: falling
Ticks: 15093 , State: falling
Ticks: 15109 , State: falling
Ticks: 15125 , State: falling
Ticks: 15142 , State: falling
Ticks: 15159 , State: falling
Ticks: 15176 , State: falling
Ticks: 15192 , State: falling
Ticks: 15209 , State: falling
Ticks: 15226 , State: falling
Ticks: 15242 , State: falling
Ticks: 15259 , State: falling
Ticks: 15276 , State: falling
Ticks: 15293 , State: falling
Ticks: 15309 , State: falling
Ticks: 15326 , State: falling
Ticks: 15343 , State: falling
Ticks: 15360 , State: falling
Ticks: 15377 , State: falling
Ticks: 15393 , State: grounded
Ticks: 16226 , State: jumping
Ticks: 16361 , State: falling
Ticks: 16544 , State: grounded
Ticks: 16544 , State: jumping
Ticks: 16660 , State: jumping
Ticks: 16676 , State: falling
Ticks: 16860 , State: grounded
